name,trans_no,total_jjg,total_brd,spb_unit,spb_divisi
REC-220926-128,SVFTML26260922191202367,,,TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE,TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01
REC-220926-129,SVFTML26260922202400498,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06
REC-220926-130,SVFTML26260922203258386,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08
REC-220926-131,SVFTML26260922204606400,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05
REC-220926-132,SVFTML26260922211822578,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05
REC-230926-030,SVFTML26260923095815739,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06
REC-230926-033,SVFTMM66260923101518612,417,4,ASRE,ASRE02
REC-230926-036,SVFTML26260923103047625,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07
REC-230926-048,SVFTMM66260923113100958,83,0,ASRE,ASRE02
REC-230926-051,SVFTML26260923114828841,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06
REC-230926-052,SVFTML26260923121011820,,,TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE,TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01
REC-230926-053,SVFTMM66260923122610967,113,23,ASRE,ASRE01
REC-230926-054,SVFTMM66260923130718790,59,0,ASRE,ASRE02
REC-230926-057,SVFTMM66260923133005487,235,0,APLE,APLE01
REC-230926-058,SVFTMM66260923133742662,46,0,ASRE,ASRE02
REC-230926-059,SVFTMM66260923134653014,617,142,ASRE,ASRE02
REC-230926-061,SVFTML26260923135000917,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07
REC-230926-066,SVFTML26260923142005924,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04
REC-230926-067,SVFTMM66260923142338300,128,30,ASRE,ASRE01
REC-230926-068,SVFTML26260923143838400,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08
REC-230926-069,SVFTML26260923143956811,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08
REC-230926-075,SVFTMM66260923145453288,38,0,ASRE,ASRE02
REC-230926-078,SVFTMM66260923150005141,45,0,ASRE,ASRE02
REC-230926-087,SVFTMM66260923154134777,337,0,APLE,APLE01
REC-230926-090,SVFTMM66260923155017496,23,15,ASRE,ASRE01
REC-230926-091,SVFTML26260923155149653,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05
REC-230926-100,SVFTML26260923163341229,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07
REC-230926-105,SVFTMM66260923165827503,108,0,ASRE,ASRE02
REC-230926-112,SVFTML26260923171153760,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05
REC-230926-113,SVFTML26260923171237801,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04
REC-230926-114,SVFTMM66260923171633178,261,16,ASRE,ASRE01
REC-230926-115,SVFTMM66260923172127557,536,51,ASRE,ASRE02
REC-230926-120,SVFTML26260923174348641,,,TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE,TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01
REC-230926-123,SVFTMM66260923175423262,66,22,ASRE,ASRE01
REC-230926-124,SVFTML26260923181458258,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07
REC-230926-125,SVFTMM66260923182630412,8,0,ASRE,ASRE02
REC-230926-126,SVFTMM66260923183921802,68,0,ASRE,ASRE02
REC-230926-129,SVFTMM66260923184649871,1696,485.36,ASRE,ASRE02
REC-230926-130,SVFTMM66260923185012741,186,0,APLE,APLE01
REC-230926-132,SVFTML26260923185522136,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08
REC-230926-134,SVFTML26260923192049554,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08
REC-230926-135,SVFTML26260923193711721,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04*TPRE04
REC-230926-136,SVFTML26260923211029349,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07
REC-230926-137,SVFTML26260923211112939,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08
