"Kode Kegiatan","Satuan"
"621030100"9",RIT"
"126720100"1",MTR"
"126430400"1",UNIT"
"126430500"2",PKK"
"126541000"1",RIT"
"126660200"1",PKK"
"126690300"1",MTR"
"128010400"1",MTR"
"128010600"1",KG"
"128010600"2",RIT"
"128010700"1",UNIT"
"128011100"1",MTR"
"128021300"1",BBT"
"128022100"1",PKK"
"128022600"1",MTR"
"128022700"1",MTR"
"126690900"1",UNIT"
"128022800"1",MTR"
"611010100"1",HM"
"126510300"1",HA"
"128010100"1",HA"
"128010200"1",HA"
"128010300"1",HA"
"128020400"2",HA"
"611010600"1",KG"
"621160401","HA"
"621180101","HA"
"621180301","HA"
"621180401","HA"
"621180501","HA"
"621180601","HA"
"126310400"1",HA"
"126011700"1",MTR"
"126013100"1",UNIT"
"126020100"1",MTR"
"126161300"1",UNIT"
"126161600"1",BH"
"621160701","UNIT"
"621160601","UNIT"
"621160501","UNIT"
"621160303","MTR"
"621160302","MTR"
"621160301","MTR"
"621160201","MTR"
"621160101","UNIT"
"126340400"1",MTR"
"126340500"1",MTR"
"126340600"1",MTR"
"621160901","UNIT"
"621180201","HA"
"621160801","UNIT"
"621161101","MTR"
"621161102","MTR"
"621161103","MTR"
"621161201","MTR"
"621161301","MTR"
"621161302","MTR"
"621170101","MTR"
"621170201","MTR"
"621170301","MTR"
"621170401","MTR"
"621170501","UNIT"
"621170601","UNIT"
"621170602","MTR"
"621170701","MTR"
"621170801","UNIT"
"621170901","MTR"
"621171001","UNIT"
"126010400"1",MTR"
"126010500"1",MTR"
"126011000"1",MTR"
"126011100"1",MTR"
"621140301","HA"
"621140205","PKK"
"621140204","PKK"
"621140203","PKK"
"621140202","PKK"
"621130103","PKK"
"621130102","PKK"
"621130101","PKK"
"621110205","KG"
"621110301","HA"
"621121801","TTK"
"621121601","MTR"
"621121301","PKK"
"621120901","PKK"
"621120301","UNIT"
"621120201","UNIT"
"621111503","KG"
"621111502","KG"
"621111501","KG"
"621111401","KG"
"621111301","UNIT"
"621111001","KG"
"621110901","KG"
"621110802","PKK"
"621110801","PKK"
"621110701","KG"
"621110501","PKK"
"621110211","KG"
"621110210","KG"
