"Kode Kegiatan","Satuan"
"6110106001","KG"
"621160401","HA"
"621180101","HA"
"621180301","HA"
"621180401","HA"
"621180501","HA"
"621180601","HA"
"1263104001","HA"
"1260117001","MTR"
"1260131001","UNIT"
"1260201001","MTR"
"1261613001","UNIT"
"1261616001","BH"
"621160701","UNIT"
"621160601","UNIT"
"621160501","UNIT"
"621160303","MTR"
"621160302","MTR"
"621160301","MTR"
"621160201","MTR"
"621160101","UNIT"
"1263404001","MTR"
"1263405001","MTR"
"1263406001","MTR"
"621160901","UNIT"
"621180201","HA"
"621160801","UNIT"
"621161101","MTR"
"621161102","MTR"
"621161103","MTR"
"621161201","MTR"
"621161301","MTR"
"621161302","MTR"
"621170101","MTR"
"621170201","MTR"
"621170301","MTR"
"621170401","MTR"
"621170501","UNIT"
"621170601","UNIT"
"621170602","MTR"
"621170701","MTR"
"621170801","UNIT"
"621170901","MTR"
"621171001","UNIT"
"1260104001","MTR"
"1260105001","MTR"
"1260110001","MTR"
"1260111001","MTR"
"621140301","HA"
"621140205","PKK"
"621140204","PKK"
"621140203","PKK"
"621140202","PKK"
"621130103","PKK"
"621130102","PKK"
"621130101","PKK"
"621110205","KG"
"621110301","HA"
"621121801","TTK"
"621121601","MTR"
"621121301","PKK"
"621120901","PKK"
"621120301","UNIT"
"621120201","UNIT"
"621111503","KG"
"621111502","KG"
"621111501","KG"
"621111401","KG"
"621111301","UNIT"
"621111001","KG"
"621110901","KG"
"621110802","PKK"
"621110801","PKK"
"621110701","KG"
"621110501","PKK"
"621110211","KG"
"621110210","KG"
"621110209","KG"
"621110208","KG"
"621110207","KG"
"621110206","KG"
"621110401","HA"
"621121701","HA"
"621110601","HA"
"621111101","HA"
"621120101","HA"
"621120102","HA"
"621120401","HA"
"621120501","HA"
"621120601","HA"
"621120701","HA"
"621120801","HA"
"621121001","HA"
"621121101","HA"
"621121201","HA"
"621121401","HA"
"621121501","HA"
"621130201","HA"
"621130202","HA"
"621130203","HA"
"621130301","HA"
"621140101","HA"
"621140201","HA"
"621150201","PKK"
"621150101","PKK"
"621140206","PKK"
"621110204","KG"
"621110203","KG"
"621110202","KG"
"621100601","HA"
"621110201","KG"
"621110102","KG"
"621110101","KG"
"621101301","UNIT"
"621060101","LOT"
"611020310","KG"
"611020309","KG"
"611020308","KG"
"611020307","KG"
"611020306","KG"
"611020305","KG"
"611020304","KG"
"611020303","KG"
"611020302","KG"
"611020301","KG"
"611020205","KG"
"611020204","KG"
"611020203","KG"
"611020202","KG"
"611020101","KG"
"611010109","KG"
"611010105","LOT"
"611010104","KG"
"611010103","KG"
"611020201","KG"
"128027001","MTR"
"128026902","MTR"
"128026901","MTR"
"128026801","MTR"
"128026701","PKK"
"128026601","PKK"
"128026502","PKK"
"128026401","PKK"
"128026301","PKK"
"128026201","PKK"
"128026101","PKK"
"128026001","PKK"
"128025901","PKK"
"128025801","PKK"
"128025701","PKK"
"128025601","PKK"
"128025501","PKK"
"621100201","HA"
"621100202","HA"
"621100203","HA"
"621100204","HA"
"621100301","HA"
"621100401","HA"
"621100501","HA"
"621100701","HA"
"621100702","HA"
"621100703","HA"
"621100801","HA"
"621100901","HA"
"621101001","HA"
"621101101","HA"
"621101202","HA"
"128022601","MTR"
"128022501","PKK"
"128022401","PKK"
"128022301","BBT"
"128022201","BBT"
"128022101","PKK"
"128022001","BBT"
"128021901","BBT"
"128021801","BBT"
"128021701","BBT"
"128021501","BBT"
"128021401","BBT"
"128021301","BBT"
"128021101","BBT"
"128021001","BBT"
"128020901","PKK"
"128020801","BBT"
"128020601","BBT"
"128020501","BBT"
"128020401","BBT"
"128020301","BBT"
"128020201","UNIT"
"128020101","BBT"
"128012001","LOT"
"128011901","LOT"
"128011801","PKK"
"128025401","PKK"
"128025301","PKK"
"128025201","PKK"
"128010301","HA"
"126750701","HA"
"126750601","HA"
"126720901","MTR"
"126750501","HA"
"126750401","HA"
"126750301","HA"
"126750201","HA"
"126750101","HA"
"128011701","BBT"
"126720501","UNIT"
"126720401","MTR"
"126720301","MTR"
"126720201","MTR"
"126720101","MTR"
"126690901","UNIT"
"126690801","UNIT"
"126690701","UNIT"
"126720801","UNIT"
"126720701","UNIT"
"126720601","UNIT"
"128010201","UNIT"
"128010302","MTR"
"128010401","BEDENG"
"128010501","BEDENG"
"128010601","KG"
"128010701","UNIT"
"128010801","BEDENG"
"128010901","PKK"
"128011001","UNIT"
"128011101","MTR"
"128011201","BBT"
"128011301","BBT"
"128011401","BBT"
"128011501","BBT"
"128011601","BBT"
"128025101","PKK"
"128023101","UNIT"
"128023001","BEDENG"
"128022901","PKK"
"128022801","MTR"
"126570901","PKK"
"126690601","UNIT"
"126690501","UNIT"
"126690303","MTR"
"126690302","MTR"
"126690301","MTR"
"126690201","MTR"
